田东县,2020,1648385,419801,680325,2811
德保县,2020,876150,141552,428547,2575
那坡县,2020,413012,104654,58685,2223
凌云县,2020,477207,107298,113965,2048
乐业县,2020,339978,102046,92764,2633
田林县,2020,684470,235167,181831,5524
西林县,2020,343551,152863,45177,2997
隆林各族自治县,2020,631900,159292,149968,3518
靖西市,2020,1309257,194996,594751,3326
平果市,2020,1837533,216553,872161,2457
八步区,2020,2646041,388310,871644,3667
昭平县,2020,914535,257917,211793,3224
钟山县,2020,1226019,199970,394929,1472
富川瑶族自治县,2020,919049,313129,279147,1540
金城江区,2020,2116579,158495,512773,2346
宜州区,2020,1232071,480736,205972,3857
南丹县,2020,1038518,161836,595197,3905
天峨县,2020,681619,99091,406855,3184
凤山县,2020,285520,79781,26366,1730
东兰县,2020,449048,117840,45726,2437
罗城仫佬族自治县,2020,583502,233958,47319,2651
环江毛南族自治县,2020,590568,211854,103498,4553
巴马瑶族自治县,2020,829909,142282,270925,1976
都安瑶族自治县,2020,719136,178500,105933,4088
大化瑶族自治县,2020,750656,122755,319258,2750
兴宾区,2020,3596655,755996,1116694,4404
忻城县,2020,739768,232354,166463,2522
象州县,2020,832766,293090,140758,1918
武宣县,2020,1089846,332444,246527,1704
金秀瑶族自治县,2020,444507,106375,114293,2469
合山市,2020,353685,46198,131555,366
江州区,2020,2067200,337123,599302,2918
扶绥县,2020,1693678,416707,634998,2841
宁明县,2020,977621,282132,247462,3704
龙州县,2020,898898,279939,179019,2311
大新县,2020,1016304,262742,325885,2748
天等县,2020,759854,161389,172061,2165
凭祥市,2020,676450,64051,167413,645
大兴区,2020,9327655,134835,2877451,1036
怀柔区,2020,3966074,43946,1590255,2123
平谷区,2020,2840976,128183,712898,948
密云区,2020,3385574,126293,852337,2230
延庆区,2020,1944775,61835,441749,1995
龙山县,2020,988613,259571,191295,3131
从化区,2020,3863100,301652,1213135,1975
增城区,2020,10626407,632011,4126262,1617
曲江区,2020,1923921,194471,1095764,1621
始兴县,2020,802475,237782,208206,2132
伊州区,2020,4549885,292166,2517374,80791
巴里坤哈萨克自治县,2020,764660,108564,424891,36901
伊吾县,2020,764566,48369,583761,19519
昌吉市,2020,4201747,436049,1328920,7971
阜康市,2020,1853115,325702,917179,8529
呼图壁县,2020,1393788,506671,290223,9518
玛纳斯县,2020,1534769,475202,467342,9155
奇台县,2020,1776218,356937,712413,16709
吉木萨尔县,2020,2625660,213784,1956085,8144
木垒哈萨克自治县,2020,487187,110200,140659,13582
博乐市,2020,1741018,397000,458596,7990
阿拉山口市,2020,839135,,264972,1204
精河县,2020,896786,324106,237388,11187
温泉县,2020,294431,101354,52179,5882
库尔勒市,2020,6549333,341281,4317770,7379
轮台县,2020,621190,185543,132648,14182
尉犁县,2020,769182,394252,61384,59192
若羌县,2020,541304,122894,288378,202298
且末县,2020,347961,107294,45628,138665
焉耆回族自治县,2020,663242,168661,202324,2429
和静县,2020,923890,235326,321307,34978
和硕县,2020,388837,154584,60845,12740
博湖县,2020,258000,79911,41588,3593
阿克苏市,2020,2512493,276198,620740,14415
库车市,2020,2888822,277465,1560108,14603
温宿县,2020,849831,273102,137000,14335
沙雅县,2020,858828,211975,244154,31848
新和县,2020,608909,179380,104341,5821
拜城县,2020,934270,148444,463225,19100
乌什县,2020,514776,109927,96137,9082
阿瓦提县,2020,628840,204270,97640,13018
柯坪县,2020,146793,28900,28441,8846
阿图什市,2020,697536,85379,154613,16161
阿克陶县,2020,478284,70567,143441,24046
阿合奇县,2020,156259,11880,37144,12737
乌恰县,2020,360311,11944,152694,22000
喀什市,2020,2382661,94318,510372,1059
疏附县,2020,500810,186297,69509,2708
疏勒县,2020,741748,276562,112310,2398
英吉沙县,2020,470523,141608,87949,3425
泽普县,2020,476984,187757,68410,988
莎车县,2020,1378078,461134,192948,8957
叶城县,2020,1094561,376627,173158,28329
麦盖提县,2020,632849,319383,53052,10889
岳普湖县,2020,357562,89774,60274,3327
伽师县,2020,707231,257435,129809,6528
巴楚县,2020,751068,265751,148199,18900
塔什库尔干塔吉克自治县,2020,177928,12674,53586,25000
和田市,2020,1142800,35600,157600,585
和田县,2020,463611,113761,80458,41080
墨玉县,2020,789400,237500,120800,25608
皮山县,2020,414581,90658,54540,38830
洛浦县,2020,426521,83078,77306,14114
策勒县,2020,268492,76404,28989,31592
于田县,2020,406300,101400,57500,39033
民丰县,2020,151361,26472,13607,56703
伊宁市,2020,2958733,85880,786114,693
奎屯市,2020,2026737,95917,1067108,1171
霍尔果斯市,2020,1938948,86728,148586,1909
伊宁县,2020,946585,322390,244744,6153
察布查尔锡伯自治县,2020,699592,290160,105687,4469
霍城县,2020,996284,318633,184755,2594
巩留县,2020,565821,208558,134601,4327
新源县,2020,1111782,333488,356153,7581
昭苏县,2020,458230,212536,30908,11128
特克斯县,2020,381840,130708,37555,8067
尼勒克县,2020,575521,189643,145951,10130
塔城市,2020,1066000,320000,135000,4356
乌苏市,2020,2141824,910497,508089,14394
额敏县,2020,1040963,346790,207713,9532
沙湾县,2020,2049000,1091000,273000,13110
托里县,2020,437661,107586,142613,21300
裕民县,2020,195727,78050,22199,6220
和布克赛尔蒙古自治县,2020,445095,112892,157130,30600
阿勒泰市,2020,1013759,137180,161145,10826
乌兰县,2020,309451,48429,171606,12256
都兰县,2020,443686,174820,168197,45270
天峻县,2020,208167,39376,49256,25989
永宁县,2020,1101948,196398,265114,1194
贺兰县,2020,1432909,212907,375605,1537
玛曲县,2020,216378,77168,20762,9637
碌曲县,2020,143809,48594,8452,5299
夏河县,2020,227013,78323,25441,6266
湟中区,2020,1687542,266140,853556,2444
大通回族土族自治县,2020,1185876,222068,597155,3090
宜良县,2020,2112550,703382,396615,1914
石林彝族自治县,2020,1170737,307270,161690,1680
嵩明县,2020,1526704,228550,434598,831
禄劝彝族苗族自治县,2020,1464998,416355,220413,4240
寻甸回族彝族自治县,2020,1437654,383477,243161,3588
安宁市,2020,5723616,209559,3446114,1301
沾益区,2020,3055331,598486,1160235,2815
马龙区,2020,915786,166240,399607,1598
陆良县,2020,2696864,847698,788014,1989
师宗县,2020,1720253,477610,530626,2784
罗平县,2020,2739074,710931,788292,3015
富源县,2020,2469632,585373,935849,3251
会泽县,2020,2876526,793666,833616,5884
宣威市,2020,4061245,971302,1168744,6053
江川区,2020,1467367,273556,449512,850
通海县,2020,1722550,261477,427120,740
华宁县,2020,1194838,264086,220129,1313
易门县,2020,1325161,155298,475109,1527
峨山彝族自治县,2020,1176238,175930,319680,1972
新平彝族傣族自治县,2020,2138601,295292,879253,4223
